post_id,name,post,hashtag
CmbqF5errqA,밍키트,"겨울 폰케이스 스포 두 번째❄️❄️
⠀
눈과 얼음 풍경으로 겨울 쿨톤을 담아낸 폰케이스입니다🥶 눈이 오지 않는 날에도 항상 겨울을 느끼실 수 있을 거예용💙
⠀
겨울 폰케이스는 총 4가지이며, 내일 추가로 공개하도록 하겠습니다! 출시는 이번주 토요일(12/24)이니 많은 관심 부탁드려용☁️❄️",[]
CmbtTjDyWTQ,청주꽃집,"🎄
🎄귀여운 #크리스마스트리 디자인 #꽃화분 ❤️
#크리스마스선물 로도
#인테리어소품 으로도 추천드립니다🤍
————————————————
✨예약 및 문의✨

 ☺︎ 카카오톡 문의 ID : 너랑나랑꽃이랑
 (❌ DM문의는 받지 않습니다)

 ☺︎ 필요하신 날짜와 용도를 먼저
  말씀해주시면 빠른 상담이 가능합니다.

 ☺︎ 원하시는 색상이나 이미지가
  있으실 경우 최소 2~3일전에 예약부탁드립니다.
————————————————
✨영업시간, 위치✨

 ☺︎ 월~토 오전 11시 ~ 오후 6시
 (영업시간외의 픽업의 경우, 미리 문의부탁드립니다.)

 ☺︎ 충북 청주시 흥덕구 풍산로 137번길 51
————————————————","['#크리스마스트리', '#꽃화분', '#크리스마스선물', '#인테리어소품']"
CmbpCbdLsBc,아톰💕,"#아톰#atom#셔틀랜드쉽독#셀티#모델견#강아지모델#시흥프리미엄아울렛

우리 아토미 덕분에
요즘 엄마는 온 세상 트리 만나느라 바빠🎄🎄
이모삼촌들이 놀러오라고 초대해줘서
연말분위기를 제대로 만끽했지모야🙊🙈

시간가는줄도 모르고 놀다
낮과 밤을 모두 만났더니 오히려 좋아❤

🐶
옴마...요즘 트리 도장깨기 중이야?
오늘은 토미 예뻐해주는 임모삼초니들 많아서 햄복해써
우리 다음에 또 논너오는거지? 초대해줘서 감쟈해요🐕🐾

#shetlandseepdog#sheltie#dog#pet#멍스타그램#광고#협찬#신세계
#반려견#트리맛집#사진맛집#핫플#크리스마스#크리스마스트리#선물#화보","['#아톰', '#atom', '#셔틀랜드쉽독', '#셀티', '#모델견', '#강아지모델', '#시흥프리미엄아울렛', '#shetlandseepdog', '#sheltie', '#dog', '#pet', '#멍스타그램', '#광고', '#협찬', '#신세계', '#반려견', '#트리맛집', '#사진맛집', '#핫플', '#크리스마스', '#크리스마스트리', '#선물', '#화보']"
CmboTC_JxI3,박서준,"Christmas is coming 🎄😆
#크리스마스 #트리","['#크리스마스', '#트리']"
Cmb2ph3PYet,심온유,"* 매년 바빴던 12월을 보내다가 코로나로 인해 3년이란 공백 동안 연말이 참 연말같지 않았는데 올해는 제대로 성탄절 기분이 나는 것 같다🎄 
.
.
#성탄절#크리스마스#연말#평택카페#mainstreet#메인스트리트#초딩맘#9살#존잘#비주얼#초딩#잘생긴아들#온유겸#얼굴천재#젊줌마#줌스타그램#맘스타그램#애스타그램#어린이그램#키즈스타그램#셀스타그램#셀카#아들맘#아들스타그램#어린이#육아#육아소통#일상#데일리#instadaily","['#성탄절', '#크리스마스', '#연말', '#평택카페', '#mainstreet', '#메인스트리트', '#초딩맘', '#9살', '#존잘', '#비주얼', '#초딩', '#잘생긴아들', '#온유겸', '#얼굴천재', '#젊줌마', '#줌스타그램', '#맘스타그램', '#애스타그램', '#어린이그램', '#키즈스타그램', '#셀스타그램', '#셀카', '#아들맘', '#아들스타그램', '#어린이', '#육아', '#육아소통', '#일상', '#데일리', '#instadaily']"
Cmb3agayCrm,지로롱,🎄🥰,[]
CmbqTAlyH3Z,문성연,"크리스마스 양모제작 인형❤️
강아지 전신, 상반신, 액자, 키링, 주차번호판 등등 주문받아요!
DM 주시면 빠른 답변을 통해 상담이 가능합니다!

#양모 #강아지 #애견 #애묘 #주문제작 #푸들 #말티즈 #요크셔테리어 #비숑 #포메라니안 #크리스마스 #선물 #애완동물 #맞팔환영 #친신 #맞팔 #선팔","['#양모', '#강아지', '#애견', '#애묘', '#주문제작', '#푸들', '#말티즈', '#요크셔테리어', '#비숑', '#포메라니안', '#크리스마스', '#선물', '#애완동물', '#맞팔환영', '#친신', '#맞팔', '#선팔']"
Cmbp7LNJlWl,🤍,임모 클쓰마쓰 선물 감사용 🎄,[]
CmbrjEAPUO7,@binivery_cake,"귀여운 루돌프 크리스마스 케이크 만들었어요♡
겉에는 크림치즈 샌딩은 녹차생크림입니다

#크리스마스 #케이크 #루돌프 #산타
#주문제작케이크","['#크리스마스', '#케이크', '#루돌프', '#산타', '#주문제작케이크']"
Cmbj_8GrPzT,뽀,"파자마버전. 
운동을 안한지 오래돼서 다시 어깨도 말리고 엉덩이도 뒤로 쭉 빠지고 어슬렁어슬렁 사냥에 흥미없는 산책나온 나무늘보가 되었다
그래두 귀엽즤?!?!
2022 파티도 꽤나 성공적🎅
운동은 내..일부터
.
.

#크리스마스 #크리스마스파티 #호캉스 #파자마파티 #홈트 #운동기록 #운동스타그램💪 #요가 #운동소통 #홈트루틴 #홈트스타그램 #운동초보 #홈트초보 #매일운동 #다이어트 #좋반 #좋아요맞팔 #맞팔해요 #운동인증 #선팔맞팔 #선팔하면맞팔 #선팔하면맞팔가요 #운동맞팔 #맞팔환영 #선팔환영 #오운쉼 #fff #f4f #l4l #좋아요반사","['#크리스마스', '#크리스마스파티', '#호캉스', '#파자마파티', '#홈트', '#운동기록', '#운동스타그램', '#요가', '#운동소통', '#홈트루틴', '#홈트스타그램', '#운동초보', '#홈트초보', '#매일운동', '#다이어트', '#좋반', '#좋아요맞팔', '#맞팔해요', '#운동인증', '#선팔맞팔', '#선팔하면맞팔', '#선팔하면맞팔가요', '#운동맞팔', '#맞팔환영', '#선팔환영', '#오운쉼', '#fff', '#f4f', '#l4l', '#좋아요반사']"
Cmb3lVNvDAI,김은선,#최애#오징어회 #해산물#복분자#요즘#맛이쪙 #겨울#내년엔#연애#하자#투다리#혼술#맛집#인간관계 #정리#술스타그램 #기다림#일상#크리스마스 #곧#,"['#최애', '#오징어회', '#해산물', '#복분자', '#요즘', '#맛이쪙', '#겨울', '#내년엔', '#연애', '#하자', '#투다리', '#혼술', '#맛집', '#인간관계', '#정리', '#술스타그램', '#기다림', '#일상', '#크리스마스', '#곧']"
