post_id,name,post,hashtag
CmbrhFHPtRP,얼렁뚱땅,"우사단안채 홈스튜디오에서 스냅사진~📷
카메라 / 렌즈 : Canon Eos-R6 / 탐론 70-200mm
 * F2.8  1/60s  70.00mm  ISO 640
.
.
.
모델 : @blueyxxinn
.
.
.
#📷 #캐논 #eosr6 #인물사진 #스냅사진 #감성사진 #감성스냅 #snapshot #model #beautiful #크리스마스 #붕어빵 #우사단안채 #홈스튜디오 #홈스냅 #사진에미치다 #사진소통환영","['#캐논', '#eosr6', '#인물사진', '#스냅사진', '#감성사진', '#감성스냅', '#snapshot', '#model', '#beautiful', '#크리스마스', '#붕어빵', '#우사단안채', '#홈스튜디오', '#홈스냅', '#사진에미치다', '#사진소통환영']"
CmbzZVyrOxJ,𝙻𝚊𝚞𝚛𝚊'𝚜,"퇴근 후 집안일 가득한 거 끝내고 나니 이 시간,,🤍",[]
CmbqO2-yzQB,블랙오소커피,"블랙오소 🐻

딸기생크림케익 🍓🎂

따로 딸기생크림케익주문글은 올리지않고 스토리에 올리면서
문의 주신분들에게만 예약판매를 해왔습니다.
문의 글이 종종 있어 게시글로 한번에 요약하여 올려 드립니다. 
참고 해주세요 🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️

최소 2일전에 예약해주시면 받으실수 있습니다.
23일 ~ 25일은 매일 1호케익 한개씩 나옵니다 🤗
선예약이 어려우신분은 한개씩 나올때 구매하시면 됩니다.

딸기생크림케이크 홀가격.
1호 28,000원
3호 40,000원

픽업시간
12:00~20:30 ( 매주월요일휴무 )

케이크 디자인
기본 케익시트+딸기+생크림 ( 딸기조각케익과 동일 )
아이싱 후 블랙오소 주인장 마음대로 딸기 올려드립니다.
⚠️레터링, 동물그림등등은 못해드립니다 😭 
그냥 딸기만 올라가는 케익입니다. 디자인은 따로 못해드려요...
디자인케익은 디자인케익 전문가에게 주문하세요 😅😅😅

많은 예약 & 문의 주세요~~🥰
감사합니다 🙇🏻‍♂️

⚠️사진속 투명케익상자는 1호케익 2개 남아있습니다. 선착순 제공.
그 이후는 흰색기본 케익박스 입니다. (3호는 흰색기본케익박스 제공)

✔️ 영업시간 12:00 - 21:00 [ 매주 월요일 휴무 ]
✔️ 인천 남동구 문화서로46번길 37 1층

💡 문의는 DM 주시면 됩니다. [답장이 늦을수도 있습니다.]
💡 매장방문시 손소독제 & 마스크 착용해주세요.
💡 모든디저트, 시럽, 소스는 매장에서 직접 만듭니다.
💡 주차구역은 따로 없습니다. 양해 부탁 드립니다.",[]
Cmb3_iyvwHA,채원,진짜 추오~~,[]
CmbrR65r3e0,PARK,"엔요먹고자야지
눈좀 그만와요 ⛄️

#엔요요구르트",['#엔요요구르트']
CmcABTFPqJi,이타적갈비,"#이타적갈비

#전주 ●새로운 #식도락 을 경험해보세요

#객리단길맛집#전주맛집#전주가볼만한곳 #전주한옥마을 

#특별한#행복#독보적

#44갈비전골 
#시래기떡갈비 
#김치시래기갈비전골
#고추짱아지떡갈비 
#갈비튀김

#먹킷리스트 #버킷리스트 #유니크#힙한#먹방#데일리#감성#크리스마스#생일#온가족먹거리 #첫경험#먹스타그램 #맛스타그램 #초대합니다","['#이타적갈비', '#전주', '#식도락', '#객리단길맛집', '#전주맛집', '#전주가볼만한곳', '#전주한옥마을', '#특별한', '#행복', '#독보적', '#44갈비전골', '#시래기떡갈비', '#김치시래기갈비전골', '#고추짱아지떡갈비', '#갈비튀김', '#먹킷리스트', '#버킷리스트', '#유니크', '#힙한', '#먹방', '#데일리', '#감성', '#크리스마스', '#생일', '#온가족먹거리', '#첫경험', '#먹스타그램', '#맛스타그램', '#초대합니다']"
Cmbx5KarXfj,허은진,"#행복 #만땅

행복한 연말 보내고 계신가요?
2022년의 12월은
2023년을 위한 한달을 보내고 있습니다🎄

매년 다가오는 크리스마스이지만 똑같이 설레고 좋은건 어쩔 수 없나봐요🫶🏻

#크리스마스 #맞이 #트리 #사진","['#행복', '#만땅', '#크리스마스', '#맞이', '#트리', '#사진']"
Cmbwj1WvZ9G,류동곤,marry christmas ?,[]
Cmbpmj_JiKG,lovehappy,"#양주

Posted @withrepost • @mingki049 할매땜에 진짜 미치겠어요,
지난주 일욜에 저부르더니 이통안에
사료있다고 이거 주래요,
글고 제가보낸 도그랑 5키로 한포
새거 있었는데(나머진 자기컨테이너안에 있어요 문잠궈놔요)오늘보니 엄네요,
물 가져와서 사료도 안가져왓는데
도그랑있는거 주려고 햇는데 이,미친
할매 자기껏도 아니면서 왜 보내준걸
지맘대로 하는지,,사료를 보내지말아야
할까봐요,
통에 있는 사료 냄새맡으니 이상,완전
저급에 저급사료 ㅠㅠ
올려놓은 사료봉투도 흙에 넘 더럽고,,
하,,이거라도 주고 왔어요,
사료 퍼담는 와중에 사료 조아하는
울 치치 한알씩 먹고 있네요,, 쨘~~
 
치치목줄은 꼬여서 줄 풀어주고요
큰빗자루로 눈 쓸어줬어요,
눈이 얼어서 무겁고 깨끗이 안쓸리네요ㅠ

일욜날 할매가 응가 다시 아궁이에 버리라래요,
응가로 불때나봐요,,ㅜㅜ
저 까만솥으로 애들 끓여먹여요,,‼️

#강아지#강아지옷 #옷#겨울#연말#크리스마스#트리#양주맘","['#양주', '#강아지', '#강아지옷', '#옷', '#겨울', '#연말', '#크리스마스', '#트리', '#양주맘']"
Cmbq6AUvyf4,임다훈,"뭐했다고 벌써 크리스마스..?🎄
.
.
.
#크리스마스 #트리 #명동성당 #명동카페 #몰또 #☕️","['#크리스마스', '#트리', '#명동성당', '#명동카페', '#몰또']"
Cmb2VEpvmBv,한혜윤,크리스마스 얼마 안남았다아-🎄✨️,[]
