post_id,name,post,hashtag
Cmb113Ru1nG,Sugar,"It’s beginning to look a lot like Christmas 🎄 🤶 🎅 
#cupcakes #cupcake #cupcakedecorating #cupcakesofinstagram #cake #cakedecorating #cakedesign #cakes #christmas #cakesofinstagram #cakedecorator #bake #baking #bakery #baker #컵케잌 #dessert #desserts #dessertporn #디저트 #크리스마스 #디저트카페 #베이킹 #빵 #디저트그램 #빵스타그램 #디저트맛집 #크리스마스케이크 #desserttable #dessertlover","['#cupcakes', '#cupcake', '#cupcakedecorating', '#cupcakesofinstagram', '#cake', '#cakedecorating', '#cakedesign', '#cakes', '#christmas', '#cakesofinstagram', '#cakedecorator', '#bake', '#baking', '#bakery', '#baker', '#컵케잌', '#dessert', '#desserts', '#dessertporn', '#디저트', '#크리스마스', '#디저트카페', '#베이킹', '#빵', '#디저트그램', '#빵스타그램', '#디저트맛집', '#크리스마스케이크', '#desserttable', '#dessertlover']"
Cmbvg90p0j4,썸네일,#겨울네일#크리스마스#크리스마스네일#가을네일#패디네일#호박네일#펄네일#그라데이션네일#체크네일#시스루네일#파츠네일#프렌치네일#네일아트#네일스타그램#성남#금광동#단대오거리네일샵#신구대네일#썸네일#somnail#미러네일#무광네일#별빛네일#디젤#젤리핏#띵크오브젤#베리굿젤#모스티브젤#아이스젤,"['#겨울네일', '#크리스마스', '#크리스마스네일', '#가을네일', '#패디네일', '#호박네일', '#펄네일', '#그라데이션네일', '#체크네일', '#시스루네일', '#파츠네일', '#프렌치네일', '#네일아트', '#네일스타그램', '#성남', '#금광동', '#단대오거리네일샵', '#신구대네일', '#썸네일', '#somnail', '#미러네일', '#무광네일', '#별빛네일', '#디젤', '#젤리핏', '#띵크오브젤', '#베리굿젤', '#모스티브젤', '#아이스젤']"
Cmbr_3gP8BR,박세은,"나도 종강해찌룽 ~~~ 😚 
근데 졸업이라 그런지 기분이 아주 밍숭맹숭 ….",[]
Cmb6uFEp3BS,빵유💛,"2022년⭐️
올해 열심히 살았다 지인짜😊
⠀
워시타워... 장기 무이자 있다고...
좋다해노코 
실수로🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️
일시불로 긁은 나는정말.....
⠀
행복... 그 잡채🫶🏻🤣
쓰리잡뛰어야겟다 ㅋㅋㅋㅋㅋㅋ
그치만 올해 제일 잘한일이길 🥺🙇🏻‍♀️🙏🏻
⠀
⠀
컵흘 👂🏻👂🏻귀마개 마음에 쏙 드러😎
카페가고싶다😘
⠀
⠀
⠀
⠀",[]
Cmbt5akPziy,정채림,"트리 50개 넘게 봤던 이번 겨울🎄♥️
크리스마스 곧이다 곧 !!!🎅🏻
.
.
.
#신세계프리미엄아울렛 #시흥아울렛","['#신세계프리미엄아울렛', '#시흥아울렛']"
CmbpJjfr85e,Lucy,한옥과 크리스마스🎅🏼,[]
Cmbq32tLGiM,홍푸름,"🤍안녕하세요 홍푸름입니다🤍

올겨울 벌써부터 눈이 펑펑 내리고 있는데요!☃️☃️

오늘은 실내에서 따뜻하게 보낼 홍익대 학생들을 위해 겨울이면 생각나는 영화 TOP5를 준비했습니다🎄

추천 영화를 보면서 올겨울 따뜻하고 즐겁게 연말 잘 마무리하시길 바랄게요🤶🏻🧑🏻‍🎄🎅🏻

#추천영화 #겨울영화 #영화 #홍대 #홍대크리스마스 #크리스마스 #홍대맛집 #홍대카페","['#추천영화', '#겨울영화', '#영화', '#홍대', '#홍대크리스마스', '#크리스마스', '#홍대맛집', '#홍대카페']"
Cmb0vH9BsDt,조라이크🙃,🧸🧸🧸🐻🤎🧸🧸🧸,[]
CmbwgXGvsRW,남악피아노,"🎅🏻
산타할아버지 선물의 주인공 찾기! :)

과연 누구였을까요🤔🤔

뮤둥이들은 정답을 찾았습니다ෆ 

✨수준별 맞춤교육
✨시간정원제 수업
✨매주 수요일 <예술융합특강>

#남악음악학원
#민뮤직예술장학진흥원 
#크리스마스#방탈출","['#남악음악학원', '#민뮤직예술장학진흥원', '#크리스마스', '#방탈출']"
Cmb5acXJK-E,하원&하준&하민이네집,"#Repost @sbdc_6678_ with @use.repost
・・・
.
안녕하세요!
중소기업유통센터에서 12월 이벤트 진행합니다.
.
이벤트 게시글 댓글에 2023년도에 이루고 싶은,
혹은 이뤄야 할 버킷리스트를 적어주세요.
추첨을 통해 선물을 드립니다. 🎁
.
�❄️이벤트 참여 방법�❄️

①. 중소기업유통센터 SNS 채널
-유튜브 구독 하기
-네이버 블로그 이웃 맺기
-인스타그램·페이스북 팔로우 하기

②. 해당 이벤트 게시글에
2023년에 꼭 이루고 싶은 버킷리스트 댓글 남기기

③. 이벤트 게시글 공유하고 SNS에 소문내기
.
📆이벤트 기간📆
12월 19일 (월) ~ 12월 25일 (일)
.
🎁이벤트 선물🎁
메가박스 일반관람권 2인 (10명)
할리스 5천원권 (30명)
.
📝당첨자 발표📝
12월 27일 (화)
.
여러분들의 많은 참여와 관심 부탁드립니다. :D
.
#중소기업유통센터 #중기센 #이벤트 #버킷리스트
#2023 #댓글이벤트 #댓글 #영화 #메가박스
#할리스 #커피 #연말 #연시 #크리스마스","['#Repost', '#중소기업유통센터', '#중기센', '#이벤트', '#버킷리스트', '#2023', '#댓글이벤트', '#댓글', '#영화', '#메가박스', '#할리스', '#커피', '#연말', '#연시', '#크리스마스']"
CmbjuktvJ19,채,내 남자친구 극한직업 👻,[]
